,log(p),g(k-1),Time to cancer
0,-7.4324233732561,5.07553031376309,40.4712328767123
1,-7.26948182084199,20.5441949626091,29.5205479452055
2,-6.41062705875432,4.38707199638829,35.0739726027397
3,-7.43404274691474,6.97436547361165,55.3917808219178
4,-7.22902783335531,3.67258353476693,54.5315068493151
5,-6.08700547084292,1.70621496300304,74.6684931506849
6,-7.02491259197687,7.17286657978196,34.8986301369863
7,-7.98858894222598,9.41651240323879,61.0246575342466
8,-6.74654620137764,5.70873198048866,42.8
9,-6.15266797681857,2.67741068761916,29.9835616438356
10,-6.76230266638455,6.97796438493795,35.1041095890411
11,-7.05867449085104,2.82829834174215,75.9397260273973
12,-6.71499490223322,5.19280722882298,37.172602739726
13,-6.80308517731384,1.99632460322019,96.5643835616438
14,-6.93598168571003,4.2178731225588,53.1479452054795
15,-7.1117691377848,3.24284692246415,67.8876712328767
16,-6.45221312524563,1.44557847978427,95.1945205479452
17,-6.60387310601349,1.7671956422302,99.7397260273972
18,-6.11937939010137,9.87625185803604,16.7424657534247
19,-6.4226642807704,7.1117134985629,19.9479452054795
20,-6.4756134178873,11.4269660946321,17.7972602739726
21,-6.12090213107316,4.44447475363567,31.2931506849315
22,-6.22998891122724,10.2200179484412,14.3561643835616
23,-6.38037670017521,2.03672549468449,69.1342465753425
24,-6.26041967509104,3.13484065579322,46.4493150684932
25,-6.33374038806611,2.73210327181543,33.758904109589
26,-6.13513417568256,2.24682162829566,59.2082191780822
27,-6.18575291339918,3.41949226110892,26.9698630136986
28,-6.91955402502206,6.18041145609174,30.9534246575342
29,-6.34252086105548,2.62006120874885,44.3753424657534
30,-6.71809649379825,1.91445522333777,94.2520547945206
31,-6.76172544444217,5.07910079027753,34.4356164383562
32,-6.13662295436274,4.87354826954755,22.441095890411
33,-6.11667512188125,3.28819958039042,31.2191780821918
34,-6.1291689977181,7.93899574376281,16.3643835616438
35,-6.65146160396847,8.20908823690084,24.6383561643836
36,-7.0908367183073,5.13665841824766,48.9698630136986
37,-6.25045531211591,3.8942516972196,27.2931506849315
38,-6.1112421095233,6.12831517375487,20.7424657534247
39,-6.57369873201477,3.51127844292485,38.0465753424658
