,log(n),g(k-1),Time to cancer
1205,10.7959031731278,4.06669654544987,55.6739726027397
1206,10.7873896447037,4.12196726748085,63.5972602739726
1207,9.92297115655334,8.14116121717873,58.2821917808219
1208,10.7340294154703,9.97787664309906,28.5232876712329
1209,10.1454346868267,6.05520464151761,59.6493150684932
1210,10.6002779346788,4.49586976825322,49.2986301369863
1211,10.7969454571433,2.57138999943452,98.6191780821918
1212,10.8044029419627,10.642369291662,38.1178082191781
1213,10.1972206910485,10.8788156977704,37.7506849315069
1214,10.402595707357,4.4532539314423,71.6219178082192
1215,10.6783902532358,2.7108249613212,84.5232876712329
1216,10.1503594132759,3.80177639245401,77.9150684931507
1217,10.5950582826282,2.43762707028138,80.2794520547945
1218,9.91877353563736,5.66517055356509,47.7835616438356
1219,10.7090793266068,11.5350323610591,44.3095890410959
1220,9.9393193071853,8.21224224192246,32.3671232876712
1221,9.95611710572137,8.47034566363088,47.9917808219178
1222,10.7804680549266,2.5506312852133,97.4
1223,10.8221461500789,3.32311823071423,60.1835616438356
1224,10.7985515197293,14.6318849366395,43.6328767123288
1225,9.97686912237129,3.39228862430087,55.3095890410959
1226,10.5509459560648,5.16984052922776,57.4356164383562
1227,10.6521376059828,8.40369240768096,23.441095890411
1228,10.7207103905772,3.20087816867096,81.2794520547945
1229,10.7446705166027,5.57668849442934,50.7123287671233
1230,10.7452430857314,3.67015253417315,58.5780821917808
1231,10.8233761898499,8.04374576589429,42.1479452054795
1232,10.8159708485529,4.919148633127,47.8356164383562
1233,10.6056340329093,7.78301208531389,47.2931506849315
1234,9.9740187411536,11.5116528056615,28.5424657534247
1235,10.8364122009649,3.6462221976187,49.8684931506849
1236,10.8184218953173,6.2245801539488,52.3972602739726
1237,9.98949342761249,4.82393385519865,60.9150684931507
1238,10.694279861606,6.7182588574328,36.4520547945205
1239,9.85069948184445,4.58374961474994,64.7972602739726
1240,9.71871409372807,2.98658698974803,72.7013698630137
1241,10.2319274719011,2.85446609023626,94.4219178082192
1242,10.1891418121503,7.39058947193721,54.1397260273973
1243,10.0089465114853,3.47349191964182,65.4191780821918
1244,10.7777433562083,3.43932516530726,66.372602739726
1245,10.4906278782568,14.0269497504992,40.613698630137
1246,10.793899645229,11.6532108853493,38.3561643835616
1247,10.437707180107,6.27768822867179,31.5178082191781
1248,10.3872910659355,5.18267741791146,51.0383561643836
1249,10.5288117001545,3.30610858912771,75.3315068493151
1250,10.4225949443149,7.60978497215088,46.2602739726027
1251,10.6119662061623,2.65617549710393,95.0602739726027
1252,10.5759349349288,11.7808619505077,39.5890410958904
1253,10.6694134578856,4.15386907541325,43.8027397260274
1254,10.718980938643,3.62160474936249,47.6876712328767
1255,10.3368649046457,2.8854269759826,79.9616438356164
1256,10.7837486898662,5.14429138898145,47.0219178082192
1257,10.2830905284991,4.26948698291035,58.8931506849315
1258,10.7367454016417,2.40075294330138,80.9205479452055
1259,10.768406207669,8.60928899367314,35.8219178082192
1260,10.6986180709044,9.90468459932309,30.4794520547945
1261,10.6432414035865,2.59410255973239,96.9178082191781
1262,10.3868489866413,4.3093510478101,50.6821917808219
1263,10.7406607330794,8.55139391409833,37.4465753424658
1264,10.8523161711514,3.10956328226416,77.7808219178082
1265,10.4411007139533,2.95769135591137,86.7698630136986
1266,10.3409977481522,6.4748385299435,41.9506849315069
1267,10.6733729189762,5.97342160938691,37.3972602739726
1268,9.85398709358538,4.21717588799949,68.9917808219178
1269,9.81972745063518,11.0305342561039,50.4054794520548
1270,10.815651083926,6.46181177988972,50.7342465753425
1271,10.5139352725187,2.75470344511775,91.372602739726
1272,9.65938358742802,10.4632345464244,38.3506849315068
1273,10.8256496566199,10.5623308485462,45.2356164383562
1274,10.2861981608863,12.9863468759406,38.5616438356164
1275,10.6178036270419,5.20887337090913,48.254794520548
1276,10.8247546460446,13.9598888754228,45.186301369863
1277,10.5667639166411,2.54841084520296,94.7369863013699
1278,10.8372399119061,6.58358284733481,41.7287671232877
1279,9.91354632458407,3.33020093670204,91.1671232876712
1280,10.731806668502,2.36188939761361,98.8794520547945
1281,10.6041057235487,3.50170737755691,54.7534246575343
1282,10.747954407501,6.2117490122396,46.1561643835617
1283,10.5732943203638,8.83104824111871,32.0082191780822
1284,10.5844275929507,5.34106153241941,47.013698630137
1285,9.81887917041444,2.8718372665529,90.0246575342466
1286,10.7224093851731,4.09430629677537,51.3534246575343
1287,9.84906798863829,13.3896648663054,43.3424657534247
1288,10.7870906803329,2.71106907630573,90.6657534246575
1289,10.4773070796633,4.71302766517058,52.7506849315069
1290,10.4966482776756,7.38806701122014,49.8520547945205
1291,10.7779184774778,3.65852747544196,57.3041095890411
1292,10.7041766000647,12.9715942571557,36.6630136986301
1293,10.0796009640655,5.82176390015294,56.1671232876712
1294,10.2527150915582,3.90355973185134,55.8027397260274
1295,9.16642509140506,3.29285942597362,84.7671232876712
1296,10.7879639916308,4.61466049357689,52.6328767123288
1297,10.1097808523704,3.57291912714056,92.5424657534247
1298,10.6018831092884,6.45582831861898,55.3424657534247
1299,10.7913877488116,3.36570197860614,68.813698630137
1300,10.7943066198207,14.6168859740658,33.3095890410959
1301,10.2642380177766,5.56614296038811,47.9808219178082
1302,10.820185729592,6.97762706322798,49.027397260274
1303,10.666617652807,3.5596493809333,63.6328767123288
1304,10.2832055192137,12.1472405788341,46.1013698630137
1305,10.3496860056192,8.16250082811538,40.0356164383562
1306,10.2630646333161,5.99562130554037,56.4849315068493
1307,8.73031499381358,5.37567209627175,62.9452054794521
1308,10.3502193102386,12.0333746374165,47.6630136986301
1309,10.6632139441555,4.59439128841435,46.4739726027397
1310,10.7327015251141,6.07633733046155,48.8575342465753
1311,10.1876647541933,7.47774579172819,48.2821917808219
1312,10.5819062027891,6.19403716071127,43.227397260274
1313,10.7936184471977,4.50886857600223,49.7150684931507
1314,10.8438290113384,3.71466808237681,63.1424657534247
1315,10.707632549806,2.4166707475741,88.7095890410959
1316,10.4378346499746,3.98147627505608,62.786301369863
1317,10.3758549882491,2.31755488635281,88.6739726027397
1318,10.1696529443227,3.30356398758045,62.4109589041096
1319,10.5482989270576,3.14124955189756,88.8876712328767
1320,9.92542715215671,3.51177405951034,61.4602739726027
1321,10.7899300064287,7.0038889086636,37.5424657534247
1322,10.6526918503665,1.94607954837422,95.1068493150685
