,log(n),g(k-1),Time to cancer
0,10.6242651558541,3.55514330474098,49.6438356164384
1,9.38206482515504,2.84836310603772,48.0164383561644
2,10.2994726535684,7.35813924797699,27.6219178082192
3,10.2981666364906,4.83847723033647,35.4164383561644
4,10.1573739583167,5.6874927665786,37.4547945205479
5,10.5773108120132,7.97073851414471,22.4904109589041
6,10.5529730142488,4.81475232849822,37.2301369863014
7,10.1728291794755,5.27635047542693,35.2657534246575
8,10.216853733575,4.74614930477881,27.9452054794521
9,10.251361155672,4.24623030794869,34.8383561643836
10,10.7751408665609,9.6322685873006,21.3616438356164
11,9.67312293740018,8.03332870678177,26.8
12,10.6820752606455,9.32638820027147,23.8
13,10.5300125270856,6.33653207211626,28.9561643835616
14,10.6559866199838,4.95648365629287,38.9534246575342
15,10.4997134161026,3.49781785887145,46.0739726027397
16,10.2267730339516,3.62320551127859,51.0712328767123
17,10.118241768601,8.34322712015078,40.0712328767123
18,10.5628426894712,3.42192761075757,41.7643835616438
19,10.592399121553,5.15447565248844,26.1260273972603
20,10.2078191791136,6.70303102178362,28.0547945205479
21,10.4157697576482,5.36948661774996,33.4027397260274
22,10.5450233690414,7.62902251381113,31.9945205479452
23,10.841844189387,4.99859950177676,38.1808219178082
24,10.7851831232462,4.55225420677292,28.2904109589041
25,10.6398297765098,5.74361097857638,31.4630136986301
26,10.7227995498722,7.58033161273461,22.7123287671233
27,9.09398347491233,6.17033344990464,44.1260273972603
28,10.0922477313697,8.68694494160955,25.0657534246575
29,10.6791851977033,9.48660590307714,16.8438356164384
30,10.8552942984269,4.55438395638927,35.3315068493151
31,10.4329044830957,8.27982985374273,25.2191780821918
32,9.51849865489897,3.41171742804682,48.6657534246575
33,10.777187876199,4.60549594487864,32.5287671232877
34,10.1510476474151,5.99733073279949,26.1945205479452
35,9.82966186729099,4.12848675061277,38.2493150684931
36,10.5064623580894,5.65931601769568,33.9369863013699
37,10.4103938069663,7.71299264136778,27.2547945205479
38,10.7802066065083,3.42054377611432,35.9068493150685
39,10.2991060613286,9.20325875191063,21.3808219178082
40,10.6056570228811,5.06370211435842,33.0657534246575
41,10.3129227284068,6.96778998877943,30.7479452054795
42,10.2001588021032,7.05336611216714,30.5506849315068
43,9.96488772484597,2.96326575121181,57.0383561643836
44,10.3338378594341,8.63458525499494,31.758904109589
45,10.7486425206675,6.42787956725515,32.372602739726
46,10.7980623082127,9.20325053416779,23.4986301369863
47,10.8516971921045,4.69415451222445,28.9479452054795
48,10.5367740630896,3.06051345283952,57.5342465753425
49,10.5675353561649,2.15733673029942,84.2712328767123
50,9.81986767260956,5.05971164127696,34.4904109589041
51,10.2929418089657,4.6885381621023,39.8684931506849
52,10.2766666026559,8.76355928693617,20.0602739726027
53,10.185319909622,4.7072845647797,32.7205479452055
54,10.148019059981,8.88859545318543,33.0575342465753
55,10.6117964839672,4.38831329193526,39.0027397260274
56,10.2726433255501,3.62768962914307,42.2
57,10.8275073864767,8.04288797611197,20.1616438356164
58,9.77086359000106,5.04422646821046,41.8109589041096
59,10.3571298504488,8.74409511910901,25.1890410958904
60,10.70677501195,4.31409572927691,30.0328767123288
61,9.82599157800487,4.59912944479116,44.6164383561644
62,10.5543032247623,9.95910704946882,28.0821917808219
63,10.1854498853436,6.6898258399514,35.2520547945205
64,10.5575422485584,6.24021168094617,24.1424657534247
65,10.6638895381787,4.24173845027212,28.7068493150685
66,10.7818800239368,9.43648877786207,22.4794520547945
67,10.8383925758338,6.96269508562786,30.6958904109589
68,10.2015413809936,6.48011734901345,29.5835616438356
69,10.55671829052,9.33385573561367,26.0767123287671
70,10.7558952623299,3.828801012591,37.4986301369863
71,10.3907956028004,7.72019048734632,27.2630136986301
72,10.742960583929,4.82244813795678,23.3753424657534
73,9.47625058511207,8.00554094418619,29.3041095890411
74,10.1555628488195,5.06890567957817,33.0438356164384
75,9.96496773365734,6.05308283886001,29.8931506849315
76,9.83536583836287,8.81647208144397,24.3534246575342
77,10.557077354832,5.3374052577946,31.7945205479452
78,10.4100182659665,3.84790552552385,31.5561643835616
79,10.8176351439139,4.94024813128564,39.227397260274
80,10.6143020675519,9.42475313208637,32.0493150684932
81,10.5756465550434,8.97151493078554,25.6575342465753
82,10.8441458987834,4.46978920882195,38.3917808219178
83,10.332551378085,3.19533447030846,43.7424657534247
84,10.8098559415893,7.16771255343321,34.2493150684931
85,10.4091328752142,7.7557049896551,33.813698630137
86,10.3791146016336,8.05771131875182,23.1205479452055
87,10.8442386503702,9.48509585865664,19.6986301369863
88,10.3713956281295,6.14540542579785,25.786301369863
89,10.5703009803294,5.08681039856101,27.0027397260274
90,10.703606377481,5.68876054521665,23.4109589041096
91,10.1136089109877,3.01221320762968,54.5397260273973
92,9.9691766676335,2.41227900441098,75.7424657534247
93,10.6800864782785,9.03101446930636,28.8301369863014
94,10.5941140553749,9.03327644153977,22.9452054794521
95,10.7157441322431,3.74388491877852,42.7479452054795
96,10.1432016392057,4.65919287775163,36.6465753424657
97,10.6053772578234,8.56695985843059,26.786301369863
98,10.6237013030319,6.9546978267346,32.8958904109589
99,10.7589295850623,8.83920772384386,13.4438356164384
100,10.7096265404151,6.59330127887645,26.6465753424657
101,9.31700825914628,9.39515464632612,39.9671232876712
102,10.7239187081993,9.98914109001473,21.1945205479452
103,10.7704320198468,2.93794594323576,51.013698630137
104,10.3944924870986,2.520899864867,65.3835616438356
105,9.56028024685551,7.74513649371728,32.2219178082192
106,9.81853956854882,2.6477438856461,65.1232876712329
107,10.7914096300518,5.03358678999323,28.3068493150685
