Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Male
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Testis","Age 55","Age <br/>50",
"Testis","Age 55","Age <br/>55",
"Testis","Age 55","Age <br/>60",0.016
"Testis","Age 55","Age <br/>65",0.026
"Testis","Age 55","Age <br/>70",0.034
"Testis","Age 55","Age <br/>75",0.039
"Testis","Age 55","Age <br/>80",0.041
"Testis","Age 55","Age <br/>85",0.044
"Testis","Age 55","Age <br/>90",0.045
"Testis","Age 55","Age <br/>95",0.046
"Testis","Age 55","Age <br/>95+",0.046
"Testis","Age 60","Age <br/>5",
"Testis","Age 60","Age <br/>10",
"Testis","Age 60","Age <br/>15",
"Testis","Age 60","Age <br/>20",
"Testis","Age 60","Age <br/>25",
"Testis","Age 60","Age <br/>30",
"Testis","Age 60","Age <br/>35",
"Testis","Age 60","Age <br/>40",
"Testis","Age 60","Age <br/>45",
"Testis","Age 60","Age <br/>50",
"Testis","Age 60","Age <br/>55",
"Testis","Age 60","Age <br/>60",
"Testis","Age 60","Age <br/>65",0.011
"Testis","Age 60","Age <br/>70",0.019
"Testis","Age 60","Age <br/>75",0.024
"Testis","Age 60","Age <br/>80",0.027
"Testis","Age 60","Age <br/>85",0.029
"Testis","Age 60","Age <br/>90",0.030
"Testis","Age 60","Age <br/>95",0.031
"Testis","Age 60","Age <br/>95+",0.031
"Testis","Age 65","Age <br/>5",
"Testis","Age 65","Age <br/>10",
"Testis","Age 65","Age <br/>15",
"Testis","Age 65","Age <br/>20",
"Testis","Age 65","Age <br/>25",
"Testis","Age 65","Age <br/>30",
"Testis","Age 65","Age <br/>35",
"Testis","Age 65","Age <br/>40",
"Testis","Age 65","Age <br/>45",
"Testis","Age 65","Age <br/>50",
"Testis","Age 65","Age <br/>55",
"Testis","Age 65","Age <br/>60",
"Testis","Age 65","Age <br/>65",
"Testis","Age 65","Age <br/>70",0.009
"Testis","Age 65","Age <br/>75",0.014
"Testis","Age 65","Age <br/>80",0.017
"Testis","Age 65","Age <br/>85",0.019
"Testis","Age 65","Age <br/>90",0.020
"Testis","Age 65","Age <br/>95",0.021
"Testis","Age 65","Age <br/>95+",0.021
"Testis","Age 70","Age <br/>5",
"Testis","Age 70","Age <br/>10",
"Testis","Age 70","Age <br/>15",
"Testis","Age 70","Age <br/>20",
"Testis","Age 70","Age <br/>25",
"Testis","Age 70","Age <br/>30",
"Testis","Age 70","Age <br/>35",
"Testis","Age 70","Age <br/>40",
"Testis","Age 70","Age <br/>45",
"Testis","Age 70","Age <br/>50",
"Testis","Age 70","Age <br/>55",
"Testis","Age 70","Age <br/>60",
"Testis","Age 70","Age <br/>65",
"Testis","Age 70","Age <br/>70",
"Testis","Age 70","Age <br/>75",0.006
"Testis","Age 70","Age <br/>80",0.009
"Testis","Age 70","Age <br/>85",0.012
"Testis","Age 70","Age <br/>90",0.013
"Testis","Age 70","Age <br/>95",0.014
"Testis","Age 70","Age <br/>95+",0.014
"Testis","Age 75","Age <br/>5",
"Testis","Age 75","Age <br/>10",
"Testis","Age 75","Age <br/>15",
"Testis","Age 75","Age <br/>20",
"Testis","Age 75","Age <br/>25",
"Testis","Age 75","Age <br/>30",
"Testis","Age 75","Age <br/>35",
"Testis","Age 75","Age <br/>40",
"Testis","Age 75","Age <br/>45",
"Testis","Age 75","Age <br/>50",
"Testis","Age 75","Age <br/>55",
"Testis","Age 75","Age <br/>60",
"Testis","Age 75","Age <br/>65",
"Testis","Age 75","Age <br/>70",
"Testis","Age 75","Age <br/>75",
"Testis","Age 75","Age <br/>80",0.003
"Testis","Age 75","Age <br/>85",0.007
"Testis","Age 75","Age <br/>90",0.008
"Testis","Age 75","Age <br/>95",0.009
"Testis","Age 75","Age <br/>95+",0.009
"Testis","Age 80","Age <br/>5",
"Testis","Age 80","Age <br/>10",
"Testis","Age 80","Age <br/>15",
"Testis","Age 80","Age <br/>20",
"Testis","Age 80","Age <br/>25",
"Testis","Age 80","Age <br/>30",
"Testis","Age 80","Age <br/>35",
"Testis","Age 80","Age <br/>40",
"Testis","Age 80","Age <br/>45",
"Testis","Age 80","Age <br/>50",
"Testis","Age 80","Age <br/>55",
"Testis","Age 80","Age <br/>60",
"Testis","Age 80","Age <br/>65",
"Testis","Age 80","Age <br/>70",
"Testis","Age 80","Age <br/>75",
"Testis","Age 80","Age <br/>80",
"Testis","Age 80","Age <br/>85",0.004
"Testis","Age 80","Age <br/>90",0.006
"Testis","Age 80","Age <br/>95",0.007
"Testis","Age 80","Age <br/>95+",0.008
"Testis","Age 85","Age <br/>5",
"Testis","Age 85","Age <br/>10",
"Testis","Age 85","Age <br/>15",
"Testis","Age 85","Age <br/>20",
"Testis","Age 85","Age <br/>25",
"Testis","Age 85","Age <br/>30",
"Testis","Age 85","Age <br/>35",
"Testis","Age 85","Age <br/>40",
"Testis","Age 85","Age <br/>45",
"Testis","Age 85","Age <br/>50",
"Testis","Age 85","Age <br/>55",
"Testis","Age 85","Age <br/>60",
"Testis","Age 85","Age <br/>65",
"Testis","Age 85","Age <br/>70",
"Testis","Age 85","Age <br/>75",
"Testis","Age 85","Age <br/>80",
"Testis","Age 85","Age <br/>85",
"Testis","Age 85","Age <br/>90",0.003
"Testis","Age 85","Age <br/>95",0.005
"Testis","Age 85","Age <br/>95+",0.005
"Testis","Age 90","Age <br/>5",
"Testis","Age 90","Age <br/>10",
"Testis","Age 90","Age <br/>15",
"Testis","Age 90","Age <br/>20",
"Testis","Age 90","Age <br/>25",
"Testis","Age 90","Age <br/>30",
"Testis","Age 90","Age <br/>35",
"Testis","Age 90","Age <br/>40",
"Testis","Age 90","Age <br/>45",
"Testis","Age 90","Age <br/>50",
"Testis","Age 90","Age <br/>55",
"Testis","Age 90","Age <br/>60",
"Testis","Age 90","Age <br/>65",
"Testis","Age 90","Age <br/>70",
"Testis","Age 90","Age <br/>75",
"Testis","Age 90","Age <br/>80",
"Testis","Age 90","Age <br/>85",
"Testis","Age 90","Age <br/>90",
"Testis","Age 90","Age <br/>95",0.004
"Testis","Age 90","Age <br/>95+",0.004
"Testis","Age 95","Age <br/>5",
"Testis","Age 95","Age <br/>10",
"Testis","Age 95","Age <br/>15",
"Testis","Age 95","Age <br/>20",
"Testis","Age 95","Age <br/>25",
"Testis","Age 95","Age <br/>30",
"Testis","Age 95","Age <br/>35",
"Testis","Age 95","Age <br/>40",
"Testis","Age 95","Age <br/>45",
"Testis","Age 95","Age <br/>50",
"Testis","Age 95","Age <br/>55",
"Testis","Age 95","Age <br/>60",
"Testis","Age 95","Age <br/>65",
"Testis","Age 95","Age <br/>70",
"Testis","Age 95","Age <br/>75",
"Testis","Age 95","Age <br/>80",
"Testis","Age 95","Age <br/>85",
"Testis","Age 95","Age <br/>90",
"Testis","Age 95","Age <br/>95",
"Testis","Age 95","Age <br/>95+",0.001


"Cancer sites include invasive cases only unless otherwise noted."

"Source: Underlying Incidence data are from the SEER 18 areas (San Francisco, Connecticut, Detroit, Hawaii, Iowa, New Mexico, Seattle, Utah, Atlanta, San Jose-Monterey, Los Angeles, Alaska Native Registry, Rural Georgia, California excluding SF/SJM/LA, Kentucky, Louisiana, New Jersey and Georgia excluding ATL/RG).\
Rates are calculated using DevCan Version 6.7, April 2018, National Cancer Institute (http://surveillance.cancer.gov/devcan/)."

